date,rate 2,,,,
Jan 2005,5.6,,,,
Feb 2005,5.7,,,,
Mar 2005,5.5,,,,
Apr 2005,5.5,,,,
May 2005,5.4,,,,
Jun 2005,5.3,,,,
Jul 2005,5.3,,,,
Aug 2005,5.2,,,,
Sep 2005,5.3,,,,
Oct 2005,5.3,,,,
Nov 2005,5.3,,,,
Dec 2005,5.2,,,,
Jan 2006,5.0,,,,
Feb 2006,4.6,,,,
Mar 2006,4.5,,,,
Apr 2006,4.5,,,,
May 2006,4.4,,,,
Jun 2006,4.4,,,,
Jul 2006,4.5,,,,
Aug 2006,4.5,,,,
Sep 2006,4.3,,,,
Oct 2006,4.2,,,,
Nov 2006,4.3,,,,
Dec 2006,4.2,,,,
Jan 2007,4.4,,,,
Feb 2007,4.3,,,,
Mar 2007,4.2,,,,
Apr 2007,4.3,,,,
May 2007,4.2,,,,
Jun 2007,4.4,,,,
Jul 2007,4.8,,,,
Aug 2007,4.7,,,,
Sep 2007,4.8,,,,
Oct 2007,4.8,,,,
Nov 2007,4.8,,,,
Dec 2007,5.1,,,,
Jan 2008,5.1,,,,
Feb 2008,5.0,,,,
Mar 2008,5.2,,,,
Apr 2008,5.1,,,,
May 2008,5.5,,,,
Jun 2008,5.7,,,,
Jul 2008,5.9,,,,
Aug 2008,6.2,,,,
Sep 2008,6.2,,,,
Oct 2008,6.6,,,,
Nov 2008,6.9,,,,
Dec 2008,7.4,,,,
Jan 2009,7.9,,,,
Feb 2009,7.8,,,,
Mar 2009,8.2,,,,
Apr 2009,8.5,,,,
May 2009,8.9,,,,
Jun 2009,9.0,,,,
Jul 2009,9.0,,,,
Aug 2009,9.1,,,,
Sep 2009,9.3,,,,
Oct 2009,9.5,,,,
Nov 2009,9.4,,,,
Dec 2009,9.4,,,,
Jan 2010,9.3,,,,
Feb 2010,9.3,,,,
Mar 2010,9.4,,,,
Apr 2010,9.4,,,,
May 2010,9.1,,,,
Jun 2010,8.9,,,,
Jul 2010,8.9,,,,
Aug 2010,9.0,,,,
Sep 2010,9.0,,,,
Oct 2010,8.9,,,,
Nov 2010,9.3,,,,
Dec 2010,8.8,,,,
Jan 2011,8.7,,,,
Feb 2011,8.5,,,,
Mar 2011,8.5,,,,
Apr 2011,8.6,,,,
May 2011,8.5,,,,
Jun 2011,8.6,,,,
Jul 2011,8.5,,,,
Aug 2011,8.5,,,,
Sep 2011,8.5,,,,
Oct 2011,8.3,,,,
Nov 2011,8.1,,,,
Dec 2011,8.0,,,,
Jan 2012,7.8,,,,
Feb 2012,7.8,,,,
Mar 2012,7.7,,,,
Apr 2012,7.7,,,,
May 2012,7.7,,,,
Jun 2012,7.7,,,,
Jul 2012,7.7,,,,
Aug 2012,7.5,,,,
Sep 2012,7.3,,,,
Oct 2012,7.3,,,,
Nov 2012,7.2,,,,
Dec 2012,7.4,,,,
Jan 2013,7.5,,,,
Feb 2013,7.2,,,,
Mar 2013,7.0,,,,
Apr 2013,8.0,,,,
May 2013,7.9,,,,
Jun 2013,7.9,,,,
Jul 2013,7.7,,,,
Aug 2013,7.6,,,,
Sep 2013,7.6,,,,
Oct 2013,7.6,,,,
Nov 2013,7.4,,,,
Dec 2013,7.1,,,,
Jan 2014,7.0,,,,
Feb 2014,7.1,,,,
Mar 2014,7.0,,,,
Apr 2014,6.6,,,,
May 2014,6.7,,,,
Jun 2014,6.5,,,,
Jul 2014,6.6,,,,
Aug 2014,6.5,,,,
Sep 2014,6.3,,,,
Oct 2014,6.1,,,,
Nov 2014,6.2,,,,
Dec 2014,6.0,,,,
Jan 2015,6.1,,,,
Feb 2015,5.9,,,,
Mar 2015,5.9,,,,
Apr 2015,5.8,,,,
May 2015,5.9,,,,
Jun 2015,5.7,,,,
